insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute
62784,Saulty,62,2.525131142940911,50.21216150068761,,9.72103791366082,12.499461068852128,12.699461068852129,12.959461068852129,16.511037913660815,18.96892213770425,19.797345292895567,20.57419160327819,3.111037913660817,4.934191603278193,5.819461068852128,6.4457684480868815,0.1,0.8157684480868813,2.047305344260644,5.468463103826237,0.4,3.5157684480868814,7.1,10.099999999999998,868.5599804011061,812.6630737923474,938.8573618884004,1010.6922167738148
59604,Troisvilles,59,3.473242088894449,50.10227635808269,,10.11149899202861,12.95149899202861,13.142997984057224,13.392248488042917,17.321498992028612,20.002997984057224,20.800749496014305,21.47850100797139,3.101498992028611,4.952248488042916,5.820749496014305,6.50149899202861,0.0999999999999999,1.3925050398569443,3.192505039856945,6.385010079713889,1.0,7.11498992028611,11.38501007971389,14.922484880429163,737.9067656235565,687.6597636076136,802.8211416430756,873.6282626920245
59324,Jeumont,59,4.10402291664172,50.29164131332955,,9.83,12.64,12.88,13.17,17.09,19.78,20.61,21.37,2.75,4.61,5.5,6.21,0.0,0.6,2.3,4.9,1.2,8.3,12.9,17.2,861.73,822.78,957.33,1054.64
62321,Évin-Malmaison,62,3.0304425078583,50.43511725948056,,10.754057836311508,13.511895682227076,13.728166714862288,14.029776247594082,17.815428046450947,20.40989941994464,21.119808710800548,21.8886951016072,3.887299246625936,5.753619817077233,6.59495567425332,7.2318288660572545,0.2,1.1746664285111768,3.300495378160864,6.725741868434283,1.5454655615159372,11.032676442340644,15.398278789111746,19.629369292306983,713.8087858983079,661.1194793811876,781.9642687241417,858.0023941667062
59189,Eecke,59,2.597327454344016,50.77994639574083,,10.3,12.92,13.21,13.5,16.84,19.19,20.15,20.7,3.93,5.74,6.63,7.2,0.1,0.6,2.2,4.8,0.3,2.8,5.7,8.4,713.92,676.06,768.72,844.79
62421,Havrincourt,62,3.0727197567408826,50.10051111275864,,10.15115126805712,12.966387026930144,13.136387026930144,13.397434178704748,17.20324557160633,19.846387026930145,20.57952848225396,21.26952848225396,3.306387026930143,5.131622785803165,5.963717089352373,6.6579056964507926,0.2,1.5418860709841768,3.2523575887302214,5.941886070984178,0.6790569645079118,5.542927233809339,9.527740538602854,12.6439683966345,691.0569698019792,646.4563510932335,768.6495655680217,815.5657934260532
59651,Wavrechain-sous-Denain,59,3.422171669820133,50.333992999391945,,10.72,13.52,13.74,13.98,17.9,20.57,21.32,21.97,3.77,5.64,6.49,7.14,0.2,1.7,3.5,7.1,1.4,9.5,14.5,19.9,708.33,664.1,779.2,860.68
62145,Boiry-Notre-Dame,62,2.942925120175328,50.27425747288198,,10.41,13.2,13.4,13.67,17.44,20.06,20.76,21.5,3.58,5.43,6.27,6.92,0.1,1.4,3.2,5.9,0.9,6.7,11.8,14.5,683.7,647.55,766.4,809.44
59589,Thiant,59,3.4390254970620173,50.29805443385381,,10.675672915507649,13.477889749854148,13.695672915507648,13.933456081161143,17.85567291550765,20.523456081161147,21.27788974985415,21.92655868900248,3.720353473319811,5.5872508654784765,6.441684534171479,7.09390136851798,0.1689739215866528,1.691142265051663,3.47783165653499,7.037947843173306,1.3468055781216428,9.19414407724653,14.092160094869817,19.39908185962977,710.8416576849345,666.2459184275125,780.5540440735796,862.2362020815925
62208,Canettemont,62,2.363351492544533,50.279608478660144,,9.85,12.61,12.84,13.09,16.63,19.04,19.94,20.7,3.25,5.07,5.97,6.58,0.1,0.8,2.0,5.7,0.4,3.2,6.7,10.1,862.68,810.17,931.1,1003.25
