insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Température maximale en été (°C)__reference,Température maximale en été (°C)__basse,Température maximale en été (°C)__mediane,Température maximale en été (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de jours avec Tx ≥ 30°C (j/an)__reference,Nombre de jours avec Tx ≥ 30°C (j/an)__basse,Nombre de jours avec Tx ≥ 30°C (j/an)__mediane,Nombre de jours avec Tx ≥ 30°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute,Cumul de précipitations en été (mm)__reference,Cumul de précipitations en été (mm)__basse,Cumul de précipitations en été (mm)__mediane,Cumul de précipitations en été (mm)__haute,Cumul de précipitations en hiver (mm)__reference,Cumul de précipitations en hiver (mm)__basse,Cumul de précipitations en hiver (mm)__mediane,Cumul de précipitations en hiver (mm)__haute,"Cumul de précipitations quotidiennes remarquables (P99, mm)__reference","Cumul de précipitations quotidiennes remarquables (P99, mm)__basse","Cumul de précipitations quotidiennes remarquables (P99, mm)__mediane","Cumul de précipitations quotidiennes remarquables (P99, mm)__haute",Intensité des précipitations extrêmes (mm/jour)__reference,Intensité des précipitations extrêmes (mm/jour)__basse,Intensité des précipitations extrêmes (mm/jour)__mediane,Intensité des précipitations extrêmes (mm/jour)__haute,Fréquence des précipitations quotidiennes remarquables (j/an)__reference,Fréquence des précipitations quotidiennes remarquables (j/an)__basse,Fréquence des précipitations quotidiennes remarquables (j/an)__mediane,Fréquence des précipitations quotidiennes remarquables (j/an)__haute,Indice feu météo (jours > 40)__reference,Indice feu météo (jours > 40)__basse,Indice feu météo (jours > 40)__mediane,Indice feu météo (jours > 40)__haute,Nombre de jours avec SWI < 0.4__reference,Nombre de jours avec SWI < 0.4__basse,Nombre de jours avec SWI < 0.4__mediane,Nombre de jours avec SWI < 0.4__haute,Écart température moyenne annuelle (°C)__reference,Écart température moyenne annuelle (°C)__basse,Écart température moyenne annuelle (°C)__mediane,Écart température moyenne annuelle (°C)__haute,Écart température moyenne été (°C)__reference,Écart température moyenne été (°C)__basse,Écart température moyenne été (°C)__mediane,Écart température moyenne été (°C)__haute,Écart température moyenne hiver (°C)__reference,Écart température moyenne hiver (°C)__basse,Écart température moyenne hiver (°C)__mediane,Écart température moyenne hiver (°C)__haute,Écart température maximale été (°C)__reference,Écart température maximale été (°C)__basse,Écart température maximale été (°C)__mediane,Écart température maximale été (°C)__haute,Écart nombre de jours avec Tx ≥ 35°C (j/an)__reference,Écart nombre de jours avec Tx ≥ 35°C (j/an)__basse,Écart nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Écart nombre de jours avec Tx ≥ 35°C (j/an)__haute,Écart nombre de jours avec Tx ≥ 30°C (j/an)__reference,Écart nombre de jours avec Tx ≥ 30°C (j/an)__basse,Écart nombre de jours avec Tx ≥ 30°C (j/an)__mediane,Écart nombre de jours avec Tx ≥ 30°C (j/an)__haute,Écart nombre de nuits tropicales (j/an)__reference,Écart nombre de nuits tropicales (j/an)__basse,Écart nombre de nuits tropicales (j/an)__mediane,Écart nombre de nuits tropicales (j/an)__haute,Écart fréquence des précipitations quotidiennes remarquables (j/an)__reference,Écart fréquence des précipitations quotidiennes remarquables (j/an)__basse,Écart fréquence des précipitations quotidiennes remarquables (j/an)__mediane,Écart fréquence des précipitations quotidiennes remarquables (j/an)__haute,Écart indice feu météo (jours > 40)__reference,Écart indice feu météo (jours > 40)__basse,Écart indice feu météo (jours > 40)__mediane,Écart indice feu météo (jours > 40)__haute,Écart jours avec SWI < 0.4__reference,Écart jours avec SWI < 0.4__basse,Écart jours avec SWI < 0.4__mediane,Écart jours avec SWI < 0.4__haute,Écart relatif précipitations annuelles (%)__reference,Écart relatif précipitations annuelles (%)__basse,Écart relatif précipitations annuelles (%)__mediane,Écart relatif précipitations annuelles (%)__haute,Écart relatif précipitations été (%)__reference,Écart relatif précipitations été (%)__basse,Écart relatif précipitations été (%)__mediane,Écart relatif précipitations été (%)__haute,Écart relatif précipitations hiver (%)__reference,Écart relatif précipitations hiver (%)__basse,Écart relatif précipitations hiver (%)__mediane,Écart relatif précipitations hiver (%)__haute,"Écart relatif précipitations journalières extrêmes (P99, %)__reference","Écart relatif précipitations journalières extrêmes (P99, %)__basse","Écart relatif précipitations journalières extrêmes (P99, %)__mediane","Écart relatif précipitations journalières extrêmes (P99, %)__haute",Écart relatif intensité précipitations extrêmes (%)__reference,Écart relatif intensité précipitations extrêmes (%)__basse,Écart relatif intensité précipitations extrêmes (%)__mediane,Écart relatif intensité précipitations extrêmes (%)__haute
62784,Saulty,62,2.525131142940911,50.21216150068761,,9.72103791366082,12.499461068852128,12.699461068852129,12.959461068852129,16.511037913660815,18.96892213770425,19.797345292895567,20.57419160327819,3.111037913660817,4.934191603278193,5.819461068852128,6.4457684480868815,20.33103791366082,23.114191603278197,24.196307379234756,25.292614758469504,0.1,0.8157684480868813,2.047305344260644,5.468463103826237,2.3157684480868808,8.92614758469505,11.38423155191312,18.778842240434404,0.4,3.5157684480868814,7.1,10.099999999999998,868.5599804011061,812.6630737923474,938.8573618884004,1010.6922167738148,199.7653893114787,143.08944071911102,177.14287404917292,226.1626539562572,244.93862289836596,249.8511577595656,300.1790826830912,383.072395416401,20.805808396721805,21.1868063617477,24.05481043169592,28.8377048306099,33.11,34.5207386743225,41.95269465573936,47.65550915738349,3.6157684480868815,4.052694655739356,5.884231551913119,7.821157759565594,0.0,0.0,2.0,11.842315519131189,76.68463103826237,75.68463103826238,107.36926207652476,147.47305344260644,0.0,2.788423155191312,2.97,3.256846310382623,0.0,2.614730534426064,3.2731536896173763,4.001576844808688,0.0,1.891576844808688,2.7115768448086883,3.331576844808688,0.0,2.865808396721807,3.866846310382624,4.911576844808688,0.0,0.6157684480868812,1.947305344260644,5.368463103826238,0.0,6.794610688521288,9.1,16.42614758469505,0.0,2.9157684480868813,6.7,9.78423155191312,0.0,0.3684631038262374,2.184231551913119,4.1526946557393565,0.0,0.0,2.0,10.842315519131189,0.0,1.842315519131187,33.684631038262374,62.63073792347525,0.0,-0.0584231551913118,0.0747305344260644,0.1584231551913118,0.0,-0.2768463103826237,-0.12,0.14,0.0,0.0384231551913118,0.2463073792347525,0.56,0.0,-0.0036926207652474,0.1568463103826237,0.3958083967218068,0.0,0.0273852415304949,0.2352694655739356,0.4173852415304949
59604,Troisvilles,59,3.473242088894449,50.10227635808269,,10.11149899202861,12.95149899202861,13.142997984057224,13.392248488042917,17.321498992028612,20.002997984057224,20.800749496014305,21.47850100797139,3.101498992028611,4.952248488042916,5.820749496014305,6.50149899202861,21.211498992028613,24.10299798405722,24.827494960143056,26.456252519928476,0.0999999999999999,1.3925050398569443,3.192505039856945,6.385010079713889,3.1,12.15995968114444,16.129979840572222,25.355030239141666,1.0,7.11498992028611,11.38501007971389,14.922484880429163,737.9067656235565,687.6597636076136,802.8211416430756,873.6282626920245,198.2437676394993,139.68325453587124,170.29177570327045,237.8778266289211,184.65826461558515,189.49582005401152,230.2842404242718,291.3800604782834,17.658757559785418,17.863747480071524,20.805246472100137,23.937258567756807,32.05207257394,31.188521167399166,36.71745464128749,47.09226864747069,3.6074949601430553,4.070020159427779,5.8,7.492505039856944,1.0,0.0749496014305524,3.0,16.0,100.8757559785417,98.5759575728195,127.87575597854172,172.17555438426393,0.0,2.8392505039856943,3.01,3.3,0.0,2.770749496014305,3.518501007971389,4.137002015942778,0.0,1.9307494960143048,2.75,3.4,0.0,2.96,3.625995968114444,5.174753527899861,0.0,1.1074949601430553,2.992505039856945,6.192505039856945,0.0,9.352464721001386,13.222484880429164,22.54004031885556,0.0,6.01498992028611,10.392505039856944,13.92997984057222,0.0,0.4625251992847237,2.0149899202861103,3.8,0.0,0.0,2.0,13.925050398569446,0.0,-1.0,32.22484880429165,69.1498992028611,0.0,-0.06,0.0807494960143055,0.1822484880429165,0.0,-0.29,-0.15,0.181498992028611,0.0,0.03,0.2692505039856945,0.57,0.0,0.0385010079713889,0.2092505039856944,0.38,0.0,-0.0907494960143055,0.13,0.56
59324,Jeumont,59,4.1040229166417195,50.29164131332955,,9.83,12.64,12.88,13.17,17.09,19.78,20.61,21.37,2.75,4.61,5.5,6.21,20.8,23.61,24.41,26.0,0.0,0.6,2.3,4.9,2.4,10.4,12.9,23.0,1.2,8.3,12.9,17.2,861.73,822.78,957.33,1054.64,222.8,162.23,196.66,255.53,234.44,252.32,296.68,367.66,21.58,22.54,26.15,28.91,37.33,36.01,45.53,62.35,3.6,4.2,5.7,7.9,0.0,0.0,1.0,8.0,64.0,65.0,98.0,147.0,0.0,2.83,3.02,3.33,0.0,2.83,3.49,4.25,0.0,1.92,2.78,3.43,0.0,2.91,3.53,5.14,0.0,0.5,2.3,4.9,0.0,8.1,10.7,20.9,0.0,7.2,11.7,15.7,0.0,0.6,2.0,4.3,0.0,0.0,1.0,7.0,0.0,0.0,43.0,79.0,0.0,-0.05,0.1,0.23,0.0,-0.27,-0.12,0.12,0.0,0.08,0.27,0.57,0.0,0.05,0.2,0.35,0.0,-0.05,0.18,0.61
62321,Évin-Malmaison,62,3.0304425078582997,50.435117259480556,,10.754057836311508,13.511895682227076,13.728166714862288,14.029776247594082,17.815428046450947,20.40989941994464,21.119808710800548,21.888695101607198,3.887299246625936,5.753619817077233,6.59495567425332,7.2318288660572545,21.583594513868874,24.38723277208957,25.272629859757245,26.51395700881179,0.2,1.1746664285111768,3.300495378160864,6.725741868434283,3.801810766547253,13.630595125034375,17.95913851633764,25.81797086117709,1.5454655615159372,11.032676442340644,15.398278789111746,19.629369292306983,713.8087858983079,661.1194793811876,781.9642687241417,858.0023941667062,189.56639840995055,136.57309586444433,164.33665533809608,228.79473395600232,178.42900346147454,185.9772195955413,226.57016491128047,272.00045622200093,17.49483450873061,17.612426023640808,19.495410491375686,21.908313655050684,29.673193666789267,30.041676370113304,34.93629619177442,44.86271318264378,3.6313551631760568,3.788863908066461,5.267329448437556,6.499682200604548,1.0,0.96287969355487,3.939784083127664,15.81439846777435,79.41180661951259,76.50823786732998,109.94070284756222,151.39108651757795,0.0,2.767606889811297,2.953737675486329,3.247144977602753,0.0,2.651022900049261,3.3143806643495983,4.029695750994716,0.0,1.9235562571981435,2.764520911309777,3.261253856153533,0.0,2.8125745284768886,3.688895098928186,4.8807336980073615,0.0,0.8769759895538973,3.105114500246305,6.528051429477005,0.0,9.942486459881543,14.124657198227943,21.81525300318891,0.0,8.980459776461956,13.693902013103612,18.011546863322593,0.0,0.0948854997536946,1.600994172656332,2.772039068073004,0.0,0.2995269357426441,2.9628796935548696,13.828423163792277,0.0,1.7029692217468853,38.53796714245891,66.29370234197997,0.0,-0.06589982957076,0.0744713734936912,0.1827730213746947,0.0,-0.269406548952817,-0.139406548952817,0.1797282142011819,0.0,0.0489446367442729,0.2599005827343668,0.5153540265827731,0.0,0.0090353458883657,0.1270542684586599,0.2853970876676699,0.0,-0.0692681917495282,0.1685715439229311,0.2759153560569504
59189,Eecke,59,2.597327454344016,50.77994639574083,,10.3,12.92,13.21,13.5,16.84,19.19,20.15,20.7,3.93,5.74,6.63,7.2,20.63,23.08,24.16,25.07,0.1,0.6,2.2,4.8,2.4,8.1,11.7,18.0,0.3,2.8,5.7,8.4,713.92,676.06,768.72,844.79,177.74,117.54,151.76,214.83,179.68,190.66,222.58,261.24,18.88,18.6,21.04,24.22,32.07,32.3,37.64,52.18,3.7,4.0,5.1,6.5,0.0,0.0,2.0,7.0,81.0,76.0,108.0,153.0,0.0,2.63,2.88,3.17,0.0,2.47,3.25,3.87,0.0,1.87,2.76,3.22,0.0,2.55,3.52,4.36,0.0,0.5,2.0,4.7,0.0,5.8,9.2,15.4,0.0,2.4,5.5,8.0,0.0,0.2,1.4,2.8,0.0,0.0,1.0,6.0,0.0,-5.0,26.0,70.0,0.0,-0.05,0.07,0.18,0.0,-0.34,-0.16,0.19,0.0,0.08,0.23,0.45,0.0,-0.04,0.12,0.29,0.0,-0.1,0.16,0.6
62421,Havrincourt,62,3.0727197567408826,50.10051111275864,,10.15115126805712,12.966387026930144,13.136387026930144,13.397434178704748,17.20324557160633,19.846387026930145,20.57952848225396,21.26952848225396,3.306387026930143,5.131622785803165,5.963717089352373,6.6579056964507926,21.19675442839367,24.124084490815907,25.02513164259051,26.24827309791432,0.2,1.5418860709841768,3.2523575887302214,5.941886070984178,3.1523575887302213,12.1942436597144,16.06754428393671,23.96754428393671,0.6790569645079118,5.542927233809339,9.527740538602854,12.6439683966345,691.0569698019792,646.4563510932335,768.6495655680217,815.5657934260532,179.83584847866925,125.32338677365652,161.82365604778695,209.7850706010251,179.2689839450436,183.9815557552883,223.3645930943296,280.59213138931693,16.909687651152456,16.85481929374296,20.028168981631804,23.23827309791432,29.81377214196836,29.60979176743497,36.98701771357469,49.67036740146354,3.6104715177460447,3.679056964507912,5.800000000000001,7.400000000000001,1.0,0.1047151774604415,3.104715177460442,14.418860709841768,96.68585446761868,94.16227858031648,122.05756340285603,168.2669937577769,0.0,2.817330062422231,2.964188607098418,3.243141455323814,0.0,2.727330062422232,3.387330062422232,4.037330062422232,0.0,1.9041886070984175,2.712094303549209,3.3404715177460447,0.0,2.9304715177460445,3.8362829106476273,5.000471517746045,0.0,1.3314145532381327,3.141886070984177,5.820943035492089,0.0,9.17330062422231,13.125658212952532,20.61518669520649,0.0,4.574341787047471,8.948683574094941,11.606797503110766,0.0,0.0685854467618675,2.189528482253956,3.8,0.0,0.1047151774604415,2.1047151774604416,12.314145532381326,0.0,-3.104715177460442,26.68585446761868,68.79056964507913,0.0,-0.06,0.1010471517746044,0.1820943035492088,0.0,-0.3010471517746044,-0.1310471517746044,0.1310471517746044,0.0,0.0320943035492088,0.2820943035492089,0.5641886070984178,0.0,-0.0168585446761867,0.1958113929015823,0.36,0.0,-0.0541886070984176,0.2868585446761867,0.4810471517746044
59651,Wavrechain-sous-Denain,59,3.422171669820133,50.333992999391945,,10.72,13.52,13.74,13.98,17.9,20.57,21.32,21.97,3.77,5.64,6.49,7.14,21.87,24.74,25.41,26.93,0.2,1.7,3.5,7.1,4.2,15.1,18.3,28.0,1.4,9.5,14.5,19.9,708.33,664.1,779.2,860.68,190.28,129.49,170.67,230.33,177.54,186.02,222.55,274.71,17.03,17.76,19.57,23.37,29.99,30.02,37.4,50.77,3.7,4.0,5.6,7.1,1.0,1.0,4.0,15.0,94.0,100.0,130.0,166.0,0.0,2.81,2.98,3.26,0.0,2.76,3.45,4.05,0.0,1.95,2.78,3.36,0.0,2.88,3.54,5.01,0.0,1.5,3.4,6.9,0.0,10.9,14.4,24.0,0.0,8.1,13.2,18.2,0.0,0.3,1.9,3.4,0.0,0.0,2.0,13.0,0.0,-4.0,32.0,69.0,0.0,-0.06,0.08,0.2,0.0,-0.31,-0.11,0.19,0.0,0.06,0.29,0.55,0.0,0.02,0.14,0.34,0.0,-0.03,0.23,0.51
62145,Boiry-Notre-Dame,62,2.942925120175328,50.27425747288198,,10.41,13.2,13.4,13.67,17.44,20.06,20.76,21.5,3.58,5.43,6.27,6.92,21.4,24.25,25.14,26.35,0.1,1.4,3.2,5.9,3.5,12.8,16.1,24.6,0.9,6.7,11.8,14.5,683.7,647.55,766.4,809.44,175.92,130.48,158.97,224.71,177.16,179.53,218.5,281.51,16.49,16.98,19.56,21.22,29.11,29.49,34.54,41.95,3.6,4.0,5.8,7.2,1.0,0.0,2.0,12.0,106.0,101.0,128.0,177.0,0.0,2.8,2.96,3.24,0.0,2.72,3.33,4.03,0.0,1.91,2.75,3.31,0.0,2.85,3.74,4.9,0.0,1.2,3.1,5.8,0.0,9.6,12.7,20.9,0.0,5.6,11.0,13.6,0.0,0.3,2.2,3.6,0.0,0.0,2.0,10.0,0.0,-16.0,29.0,60.0,0.0,-0.04,0.12,0.18,0.0,-0.24,-0.1,0.24,0.0,0.01,0.25,0.58,0.0,0.01,0.2,0.3,0.0,0.01,0.23,0.49
59589,Thiant,59,3.4390254970620173,50.29805443385381,,10.675672915507649,13.477889749854148,13.695672915507648,13.933456081161143,17.85567291550765,20.523456081161147,21.27788974985415,21.92655868900248,3.720353473319811,5.5872508654784765,6.441684534171479,7.09390136851798,21.81725086547848,24.68148613593381,25.36478714201282,26.89454025289365,0.1689739215866528,1.691142265051663,3.47783165653499,7.037947843173306,4.084753421294949,14.91824839089992,18.24240071674165,27.76064910764156,1.3468055781216428,9.19414407724653,14.092160094869817,19.39908185962977,710.8416576849345,666.2459184275125,780.5540440735796,862.2362020815925,190.876648894876,130.51099323952198,169.60049444467734,231.87587527644104,177.96330973336737,187.09506863367636,222.5640331405712,275.9224499473146,17.060135503699684,17.8309338978692,19.797414555662936,23.415658145344025,30.09373152327221,30.125067385342717,37.44699400741453,49.94443744595029,3.7,3.97783165653499,5.6221683434650105,7.21084171732505,1.0,1.0,3.778316565349899,15.2216834346501,96.30541169598438,99.82236517914993,131.72893874151748,167.72893874151748,0.0,2.812216834346501,2.9835478951981687,3.262216834346501,0.0,2.7613310608516675,3.4522168343465016,4.0486689391483335,0.0,1.9468973921586648,2.774680557812164,3.3666505030395038,0.0,2.889753110880838,3.549753110880838,5.0219699452273385,0.0,1.491142265051663,3.37783165653499,6.868973921586653,0.0,10.784753421294948,14.39559513862,23.844869607933266,0.0,7.847338499124887,12.845354516748174,17.836496781799838,0.0,0.2778316565349899,1.931026078413347,3.5108417173250506,0.0,0.0,2.0,13.2216834346501,0.0,-3.4240071674164154,32.31026078413348,69.31026078413349,0.0,-0.06,0.077783165653499,0.2,0.0,-0.307783165653499,-0.121084171732505,0.192216834346501,0.0,0.062216834346501,0.283349496960497,0.552216834346501,0.0,0.026650503039503,0.146650503039503,0.3400000000000001,0.0,-0.041084171732505,0.225566331306998,0.5122168343465011
62208,Canettemont,62,2.363351492544533,50.279608478660144,,9.85,12.61,12.84,13.09,16.63,19.04,19.94,20.7,3.25,5.07,5.97,6.58,20.44,23.16,24.28,25.37,0.1,0.8,2.0,5.7,2.3,8.7,11.5,19.2,0.4,3.2,6.7,10.1,862.68,810.17,931.1,1003.25,198.1,143.94,175.03,229.75,242.55,251.17,301.33,384.41,20.52,20.72,23.8,28.24,32.35,34.21,39.01,50.96,3.6,3.8,5.8,7.8,0.0,0.0,2.0,11.0,79.0,76.0,112.0,157.0,0.0,2.78,2.96,3.26,0.0,2.57,3.26,3.98,0.0,1.89,2.74,3.31,0.0,2.78,3.85,4.88,0.0,0.7,2.0,5.6,0.0,6.6,9.2,16.9,0.0,2.7,6.4,9.7,0.0,0.1,2.2,4.1,0.0,0.0,2.0,10.0,0.0,-5.0,36.0,68.0,0.0,-0.05,0.06,0.17,0.0,-0.28,-0.12,0.17,0.0,0.04,0.25,0.57,0.0,0.01,0.15,0.37,0.0,0.01,0.16,0.58
